design_id,sequence,design_type,designed_pdb,predicted_pdb,plddt,plddt_catalytic,pae_interaction,scrmsd,scrmsd_orthogonal,tm_to_pdb,solubility,rosetta_dG,shape_complementarity,md_rmsd,catalytic_geom_rmsd,extra,layers_passed,score,notes
EXAMPLE_DATA_alpha_L120_006,,monomer,,,90.0,,,0.96,,0.287,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",1,2.69,[]
EXAMPLE_DATA_alpha_L80_007,,monomer,,,87.8,,,1.07,,0.588,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",1,2.558,[]
EXAMPLE_DATA_alpha_L80_004,,monomer,,,87.3,,,1.11,,0.624,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",1,2.513,[]
EXAMPLE_DATA_alpha_L80_002,,monomer,,,87.2,,,1.12,,0.635,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",1,2.502,[]
EXAMPLE_DATA_alpha_L120_000,,monomer,,,87.7,,,1.15,,0.243,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",1,2.477,[]
EXAMPLE_DATA_alpha_L80_005,,monomer,,,86.4,,,1.18,,0.284,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",1,2.434,[]
EXAMPLE_DATA_alpha_L80_003,,monomer,,,86.3,,,1.19,,0.491,,,,,,"{'length': 80, 'ss_bias': 'alpha', 'synthetic': True}",1,2.423,[]
EXAMPLE_DATA_alpha_L120_007,,monomer,,,87.0,,,1.2,,0.492,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",1,2.42,[]
EXAMPLE_DATA_alpha_L120_002,,monomer,,,86.6,,,1.24,,0.32,,,,,,"{'length': 120, 'ss_bias': 'alpha', 'synthetic': True}",1,2.376,[]
EXAMPLE_DATA_mixed_L80_003,,monomer,,,87.3,,,1.25,,0.524,,,,,,"{'length': 80, 'ss_bias': 'mixed', 'synthetic': True}",1,2.373,[]
