backbone_id,length,ss_bias,seed,scrmsd,plddt,tm_to_pdb,synthetic,tool_gen,tool_fold,tool_nov
EXAMPLE_DATA_alpha_L80_000,80,alpha,0,1.69,80.2,0.506,True,mock,mock,mock
EXAMPLE_DATA_alpha_L80_001,80,alpha,0,1.51,82.4,0.56,True,mock,mock,mock
EXAMPLE_DATA_alpha_L80_002,80,alpha,0,1.12,87.2,0.635,True,mock,mock,mock
EXAMPLE_DATA_alpha_L80_003,80,alpha,0,1.19,86.3,0.491,True,mock,mock,mock
EXAMPLE_DATA_alpha_L80_004,80,alpha,0,1.11,87.3,0.624,True,mock,mock,mock
EXAMPLE_DATA_alpha_L80_005,80,alpha,0,1.18,86.4,0.284,True,mock,mock,mock
EXAMPLE_DATA_alpha_L80_006,80,alpha,0,1.63,80.9,0.458,True,mock,mock,mock
EXAMPLE_DATA_alpha_L80_007,80,alpha,0,1.07,87.8,0.588,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_000,80,beta,0,2.21,77.4,0.629,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_001,80,beta,0,2.45,74.5,0.621,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_002,80,beta,0,2.32,76.0,0.518,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_003,80,beta,0,2.0,80.0,0.451,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_004,80,beta,0,2.21,77.4,0.428,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_005,80,beta,0,2.44,74.6,0.413,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_006,80,beta,0,2.12,78.5,0.552,True,mock,mock,mock
EXAMPLE_DATA_beta_L80_007,80,beta,0,2.59,72.7,0.541,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_000,80,mixed,0,1.72,81.5,0.716,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_001,80,mixed,0,1.34,86.1,0.404,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_002,80,mixed,0,1.76,81.0,0.748,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_003,80,mixed,0,1.25,87.3,0.524,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_004,80,mixed,0,2.28,74.5,0.385,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_005,80,mixed,0,1.74,81.2,0.735,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_006,80,mixed,0,1.71,81.6,0.711,True,mock,mock,mock
EXAMPLE_DATA_mixed_L80_007,80,mixed,0,2.03,77.6,0.778,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_000,120,alpha,0,1.15,87.7,0.243,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_001,120,alpha,0,1.4,84.6,0.652,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_002,120,alpha,0,1.24,86.6,0.32,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_003,120,alpha,0,1.69,81.0,0.295,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_004,120,alpha,0,1.88,78.7,0.254,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_005,120,alpha,0,1.83,79.3,0.215,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_006,120,alpha,0,0.96,90.0,0.287,True,mock,mock,mock
EXAMPLE_DATA_alpha_L120_007,120,alpha,0,1.2,87.0,0.492,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_000,120,beta,0,2.79,71.1,0.694,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_001,120,beta,0,2.76,71.5,0.469,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_002,120,beta,0,3.05,67.9,0.71,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_003,120,beta,0,2.72,72.0,0.434,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_004,120,beta,0,2.72,72.0,0.637,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_005,120,beta,0,1.98,81.1,0.42,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_006,120,beta,0,3.13,66.9,0.38,True,mock,mock,mock
EXAMPLE_DATA_beta_L120_007,120,beta,0,1.98,81.1,0.423,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_000,120,mixed,0,1.72,82.3,0.704,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_001,120,mixed,0,1.55,84.4,0.765,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_002,120,mixed,0,1.5,85.0,0.524,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_003,120,mixed,0,2.05,78.2,0.382,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_004,120,mixed,0,2.45,73.3,0.711,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_005,120,mixed,0,2.29,75.3,0.379,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_006,120,mixed,0,2.41,73.8,0.279,True,mock,mock,mock
EXAMPLE_DATA_mixed_L120_007,120,mixed,0,1.83,81.0,0.594,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_000,200,alpha,0,2.43,73.6,0.285,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_001,200,alpha,0,1.96,79.4,0.498,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_002,200,alpha,0,2.11,77.5,0.226,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_003,200,alpha,0,1.96,79.4,0.501,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_004,200,alpha,0,1.88,80.4,0.43,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_005,200,alpha,0,1.44,85.8,0.666,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_006,200,alpha,0,1.42,86.0,0.244,True,mock,mock,mock
EXAMPLE_DATA_alpha_L200_007,200,alpha,0,2.19,76.5,0.486,True,mock,mock,mock
EXAMPLE_DATA_beta_L200_000,200,beta,0,3.32,66.3,0.512,True,mock,mock,mock
EXAMPLE_DATA_beta_L200_001,200,beta,0,2.76,73.2,0.446,True,mock,mock,mock
EXAMPLE_DATA_beta_L200_002,200,beta,0,3.32,66.3,0.316,True,mock,mock,mock
EXAMPLE_DATA_beta_L200_003,200,beta,0,2.66,74.4,0.367,True,mock,mock,mock
EXAMPLE_DATA_beta_L200_004,200,beta,0,2.68,74.2,0.781,True,mock,mock,mock
